5900,103 C. A. Nº 8  EL ENCUENTRO                ,S,Turno: 12 a 18                ,LU 0012 0018,MA 0012 0018,MI 0012 0018,JU 0012 0018,VI 0012 0018,   0000 0000,   0000 0000,   0000 0000
5901,102 C. A. Nº 12 - DON ORIONE                ,S,Turno: 08 a 14                ,   0000 0000,   0000 0000,MI 0006 0006,JU 0012 0018,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5902,030 C.A. 9 FLOREAL FERRARA (VENDRAMINI)     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5903,063 C.A Nº24 BROMATOLOGIA                   ,F,Turno: 08 a 14                ,LU 0008 0014,MA 0008 0014,MI 0008 0014,JU 0008 0014,VI 0008 0014,   0000 0000,   0000 0000,   0000 0000
5904,088 C. A. Nº 17  SAN AGUSTIN                ,S,Turno: 9 a 15                 ,   0000 0000,MA 0930 0017,MI 1330 0017,   0000 0000,VI 0930 1630,   0000 0000,   0000 0000,   0000 0000
5904,120 POSTA SANITARIA CLAUDIA MOLINA          ,S,Turno: 9 a 15                 ,LU 0009 0017,   0000 0000,MI 0009 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5905,027 C. A. Nº16 - R.CALZADA.                 ,S,Turno: 08 a 14                ,LU 0008 0016,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5905,108 CTRO.ASIST.JUAN D.PERON N21             ,S,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,JU 0008 0016,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5905,036 C. MUNC. N*18 DE DIAG.Y PREV            ,S,Turno: 08 a 14                ,   0000 0000,MA 0008 0016,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5906,048 CERRETTI                                ,N,Turno: 7 a 13                 ,LU 0730 1330,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5907,110 POSTA EL HORNERO                        ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5909,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5911,125 C.A. 23 GLEW SUR                        ,S,Turno: 08 a 14                ,LU 0009 0017,   0000 0000,MI 0010 0018,   0000 0000,VI 0009 0017,   0000 0000,   0000 0000,   0000 0000
5913,121 POSTA SANIT. LA CUMBRE                  ,S,Turno: 08 a 14                ,   0000 0000,MA 0008 0016,MI 0008 0016,JU 0008 0016,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5914,128 CTRO. DE OP. Y MONITOREO                ,S,                              ,LU 0022 0006,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5916,102 C. A. Nº 12 - DON ORIONE                ,S,Turno: 08 a 14                ,LU 0008 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5917,118 C.A Nº 29 LA ESTHER                     ,S,Turno: 08 a 14                ,LU 0008 0014,MA 0008 0014,MI 0008 0014,JU 0008 0014,VI 0008 0014,   0000 0000,   0000 0000,   0000 0000
5918,048 CERRETTI                                ,F,Turno: 19 a 7                 ,LU 0019 0007,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5919,048 CERRETTI                                ,F,Turno: 08 a 14                ,   0000 0000,MA 0008 1330,   0000 0000,JU 0008 1330,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5919,021 C.A. Nº 5  RAYO DE SOL                  ,S,Turno: 12 a 18                ,LU 0011 0018,   0000 0000,MI 0012 0018,   0000 0000,VI 0012 0018,   0000 0000,   0000 0000,   0000 0000
5920,036 C. MUNC. N*18 DE DIAG.Y PREV            ,S,Turno: 12 a 18                ,LU 0012 0018,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5921,108 CTRO.ASIST.JUAN D.PERON N21             ,S,Turno: 08 a 14                ,LU 0008 0018,   0000 0000,   0000 0000,JU 0008 0018,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5923,140 C. A Nº 26 - USAM-                      ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5925,048 CERRETTI                                ,F,Turno: 8:30 A 14:30           ,LU 0830 1430,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5926,021 C.A. Nº 5  RAYO DE SOL                  ,S,Turno: 12 a 18                ,LU 0012 0018,MA 0012 0018,MI 0012 0018,JU 0012 0018,VI 0012 0018,   0000 0000,   0000 0000,   0000 0000
5927,025 C.A. Nº 1 MSTRO RIVADAVIA               ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5928,104 C.A. Nº  13  BURZACO                    ,S,Turno: 08 a 14                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,VI 0008 0014,   0000 0000,   0000 0000,   0000 0000
5928,137 C.A Nº -27 TEA-                         ,S,Turno: 08 a 14                ,LU 0008 0013,MA 0010 0014,MI 0008 0017,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5928,025 C.A. Nº 1 MSTRO RIVADAVIA               ,S,Turno: 08 a 14                ,   0000 0000,MA 0008 0010,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5929,088 C. A. Nº 17  SAN AGUSTIN                ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5930,021 C.A. Nº 5  RAYO DE SOL                  ,S,Turno: 08 a 14                ,LU 0008 0014,MA 0008 0014,MI 0008 0014,JU 0008 0014,VI 0008 0014,   0000 0000,   0000 0000,   0000 0000
5931,143 C.A Nº 30 LOS PINOS                     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5933,136 C.A.N 25 2 DE ABRIL                     ,S,Turno: 08 a 14                ,LU 0008 0013,MA 0008 0013,MI 0008 0013,JU 0008 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5934,125 C.A. 23 GLEW SUR                        ,S,Turno: Rotativo               ,   0000 0000,MA 0009 0015,   0000 0000,JU 0008 0018,VI 0009 0015,   0000 0000,   0000 0000,   0000 0000
5935,020 C. A. Nº 11  LA GLORIA                  ,S,Turno: 08 a 14                ,LU 0008 0018,   0000 0000,   0000 0000,   0000 0000,VI 0008 0013,   0000 0000,   0000 0000,   0000 0000
5935,088 C. A. Nº 17  SAN AGUSTIN                ,S,Turno: 08 a 14                ,   0000 0000,MA 0008 0013,MI 0008 0012,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5937,023 C. A. Nº 6 LOS ALAMOS                   ,S,Turno: 08 a 14                ,LU 0012 0018,MA 0008 0017,   0000 0000,   0000 0000,VI 0008 0017,   0000 0000,   0000 0000,   0000 0000
5938,030 C.A. 9 FLOREAL FERRARA (VENDRAMINI)     ,S,Turno: 08 a 14                ,   0000 0000,MA 0008 0016,   0000 0000,JU 0008 0016,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5938,140 C. A Nº 26 - USAM-                      ,S,Turno: 14 a 20                ,   0000 0000,   0000 0000,MI 0010 0018,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5939,057 C. A.  Nº  14 GLEW I                    ,S,Turno: 12 a 18                ,LU 0010 0018,MA 0008 0016,   0000 0000,   0000 0000,VI 0010 0018,   0000 0000,   0000 0000,   0000 0000
5940,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0014,MA 0008 0014,MI 0008 0014,JU 0008 0014,VI 0008 0014,   0000 0000,   0000 0000,   0000 0000
5942,048 CERRETTI                                ,F,Turno: 6 a 12                 ,LU 0008 0014,MA 0006 0012,MI 0006 0012,JU 0006 0012,VI 0006 0012,   0000 0000,   0000 0000,   0000 0000
5945,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 15 a 21                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,SA 0014 0022,DO 0014 0022,FE 0014 0022
5946,048 CERRETTI                                ,N,Turno: 19 a 7                 ,LU 0020 0008,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5948,001 DELEGACION BURZACO                      ,S,Turno: 7 a 13                 ,LU 0730 1330,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5949,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 7 a 13                 ,LU 0006 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5951,048 CERRETTI                                ,F,Turno: 7 a 13                 ,LU 0730 1330,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5952,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5953,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 7 a 13                 ,LU 0006 0014,MA 0006 0014,MI 0006 0014,JU 0006 0014,VI 0006 0014,   0000 0000,   0000 0000,   0000 0000
5954,128 CTRO. DE OP. Y MONITOREO                ,S,                              ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,SA 0022 0006,DO 0022 0006,FE 0022 0006
5955,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5956,128 CTRO. DE OP. Y MONITOREO                ,S,                              ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,SA 0022 0006,DO 0022 0006,FE 0022 0006
5957,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 15 a 21                ,LU 0015 0023,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5958,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 14 a 20                ,LU 0014 0022,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5959,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5960,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 7 a 13                 ,LU 0006 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5961,048 CERRETTI                                ,N,Turno: 10 a 16                ,LU 0010 0016,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5962,128 CTRO. DE OP. Y MONITOREO                ,S,                              ,LU 0022 0006,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5963,048 CERRETTI                                ,F,Turno: 7 a 13                 ,LU 0730 1330,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5964,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5965,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5966,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5967,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 14 a 20                ,LU 0014 0022,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5968,002 DELEGACION LONGCHAMPS                   ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5969,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 7 a 13                 ,LU 0006 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5970,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 7 a 13                 ,LU 0006 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5971,036 C. MUNC. N*18 DE DIAG.Y PREV            ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5972,021 C.A. Nº 5  RAYO DE SOL                  ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5973,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 7 a 19 (12 X 24)       ,LU 0006 0018,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5975,169 COM. DE BURZACO                         ,S,Turno: 08 a 14                ,LU 0009 0017,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5976,017 C.ANº19 C.SAN.ANIMAL Y ZOONOSIS         ,N,"Turno: Sab,Dom y Fer 8 a 14   ",   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,SA 0008 0014,DO 0008 0014,FE 0008 0014
5977,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 7 a 19 (12 X 24)       ,LU 0006 0018,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5978,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5980,089 DIRECCION DE DEPORTES                   ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5981,048 CERRETTI                                ,N,Turno: 9 a 15                 ,LU 0009 0015,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5982,036 C. MUNC. N*18 DE DIAG.Y PREV            ,S,Turno: 12 a 18                ,LU 0012 0018,MA 0012 0018,MI 0012 0018,JU 0012 0018,VI 0012 0018,   0000 0000,   0000 0000,   0000 0000
5983,128 CTRO. DE OP. Y MONITOREO                ,S,                              ,LU 0022 0006,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5986,048 CERRETTI                                ,S,Turno: 7 a 13                 ,LU 0730 1330,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5987,128 CTRO. DE OP. Y MONITOREO                ,S,"Turno: Sab,Dom y Fer 7 a 19   ",   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,SA 0006 0014,DO 0006 0014,FE 0006 0014
5988,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: Rotativo               ,LU 0006 0014,MA 0006 0014,MI 0006 0014,   0000 0000,VI 0008 0014,   0000 0000,   0000 0000,   0000 0000
5989,169 COM. DE BURZACO                         ,S,Turno: 08 a 14                ,LU 0008 0016,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5990,048 CERRETTI                                ,N,Turno: Rotativo               ,   0000 0000,   0020 0000,   0000 0008,   0000 0000,   0000 0000,   0000 0000,DO 0008 0008,   0000 0000
5992,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 7 a 13                 ,LU 0006 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5993,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5994,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 7 a 13                 ,LU 0006 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5995,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 7 a 19 (12 X 24)       ,LU 0006 0018,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
5999,128 CTRO. DE OP. Y MONITOREO                ,S,"Turno: Sab,Dom y Fer 7 a 19   ",   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,SA 0006 0014,DO 0006 0014,FE 0006 0014
6000,128 CTRO. DE OP. Y MONITOREO                ,S,"Turno: Sab,Dom y Fer 7 a 19   ",   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,SA 0006 0014,DO 0006 0014,FE 0006 0014
6002,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6004,000 CASA MUNICIPAL                          ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,MI 0008 0014,JU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6006,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 15 a 21                ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,SA 0014 0022,DO 0014 0022,FE 0014 0022
6007,128 CTRO. DE OP. Y MONITOREO                ,S,"Turno: Sab,Dom y Fer 7 a 19   ",   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,SA 0006 0014,DO 0006 0014,FE 0006 0014
6008,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6009,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 14 a 20                ,LU 0014 0022,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6010,042 VIALIDAD                                ,F,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6011,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 08 a 14                ,LU 0008 0016,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6012,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: Rotativo               ,LU 0007 0015,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6013,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 7 a 13                 ,LU 0006 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6014,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6015,146 DIR. GRAL DE ASIST. CRITICA             ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6016,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 14 a 20                ,LU 0014 0022,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6017,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 7 a 13                 ,LU 0007 0015,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6018,146 DIR. GRAL DE ASIST. CRITICA             ,S,Turno: 14 a 20                ,LU 0016 0022,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6019,005 DELEGACION CLAYPOLE                     ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6020,046 - ESPACIOS   VERDES-                    ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6021,169 COM. DE BURZACO                         ,S,Turno: 7 a 13                 ,LU 0730 1530,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6023,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 7 a 13                 ,LU 0006 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6024,102 C. A. Nº 12 - DON ORIONE                ,S,"Turno: Sab,Dom y Fer 8 a 14   ",   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,SA 0008 0014,DO 0008 0014,FE 0008 0014
6025,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 14 a 20                ,LU 0007 0019,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6026,008 DELEGACION SAN JOSE                     ,S,Turno: 7 a 13                 ,LU 0007 0013,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6030,128 CTRO. DE OP. Y MONITOREO                ,S,                              ,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,SA 0022 0006,DO 0022 0006,FE 0022 0006
6031,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 7 a 19 (12 X 24)       ,LU 0006 0018,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6033,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6034,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 7 a 13                 ,LU 0007 0015,MA 0007 0015,MI 0007 0015,JU 0007 0015,VI 0007 0015,   0000 0000,   0000 0000,   0000 0000
6035,128 CTRO. DE OP. Y MONITOREO                ,S,"Turno: Sab,Dom y Fer 7 a 19   ",   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,SA 0006 0014,DO 0006 0014,FE 0006 0014
6036,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6038,128 CTRO. DE OP. Y MONITOREO                ,S,"Turno: Sab,Dom y Fer 7 a 19   ",   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,SA 0006 0014,DO 0006 0014,FE 0006 0014
6040,006 DELEGACION S. F. SOLANO                 ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6042,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6043,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 14 a 20                ,LU 0014 0022,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6044,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 7 a 13                 ,LU 0006 0014,MA 0006 0014,MI 0006 0014,JU 0006 0014,VI 0006 0014,   0000 0000,   0000 0000,   0000 0000
6046,041 BIBLIOTECA                              ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6047,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 14 a 20                ,   0000 0000,   0000 0000,   0000 0000,JU 0017 0021,VI 0016 0022,SA 0012 0022,   0000 0000,   0000 0000
6048,128 CTRO. DE OP. Y MONITOREO                ,S,                              ,LU 0022 0006,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6049,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 08 a 14                ,LU 0007 0015,MA 0007 0015,MI 0007 0015,JU 0007 0015,VI 0007 0015,   0000 0000,   0000 0000,   0000 0000
6051,128 CTRO. DE OP. Y MONITOREO                ,S,Turno: 08 a 14                ,LU 0009 0017,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6053,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6054,112 C.A. Nº 22  LOMA VERDE                  ,S,Turno: 08 a 14                ,LU 0008 0014,MA 0008 0014,MI 0008 0014,JU 0008 0014,VI 0008 0014,   0000 0000,   0000 0000,   0000 0000
6055,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6056,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6059,050 EREZCANO                                ,N,Turno: 9 a 15                 ,LU 0009 0015,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6060,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6061,146 DIR. GRAL DE ASIST. CRITICA             ,S,Turno: 14 a 20                ,LU 0016 0022,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6062,048 CERRETTI                                ,F,Turno: 9 a 15                 ,LU 0930 1330,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6064,000 CASA MUNICIPAL                          ,N,Turno: 13 a 19                ,LU 0013 0019,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6065,048 CERRETTI                                ,F,Turno: 14 a 20                ,LU 0014 0020,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6066,048 CERRETTI                                ,F,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6067,056 INSTITUTO MUNICIPAL DE LAS CULTURAS     ,S,Turno: 14 a 20                ,LU 0016 0022,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6068,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6070,145 EREZCANO-CASA DEL NIÑO-                 ,S,Turno: 10 a 16                ,LU 0010 0016,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6071,047 CERRETTI ..( JEFES )                    ,S,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
6072,048 CERRETTI                                ,N,Turno: 08 a 14                ,LU 0008 0014,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000,   0000 0000
